id,name,age,salary,address,gender,country
31,Delinda,22.0,29787.0,16th Floor,F,India
85,Tod,26.0,10354.0,4th Floor,M,Canada
55,Kerry,53.0,53479.0,Suite 9,M,
14,Kelby,54.0,45092.0,Room 1106,M,Canada
60,Denice,38.0,48771.0,Suite 18,F,Germany
2,Pinchas,66.0,64493.0,Suite 57,M,USA
77,Marlo,25.0,7413.0,Room 968,M,Canada
87,Farrel,68.0,21924.0,Room 1778,M,USA
52,Cherri,57.0,44818.0,PO Box 13362,F,Canada
49,Rex,54.0,57702.0,6th Floor,M,USA
89,Gian,60.0,41689.0,Suite 59,M,UK
96,Jarret,32.0,28123.0,Suite 1,M,Canada
92,Jeramie,33.0,19712.0,Suite 43,M,UK
19,Quinn,22.0,59944.0,Apt 1445,F,Germany
98,Ralf,57.0,2721.0,PO Box 93117,M,Canada
32,Sher,43.0,42956.0,PO Box 76919,F,UK
7,Cathe,69.0,32711.0,Apt 370,F,India
34,Lorie,68.0,12719.0,5th Floor,F,
18,Ramonda,64.0,33167.0,Room 396,F,Canada
69,Gussi,47.0,35318.0,Apt 469,F,
58,Austin,47.0,45999.0,Apt 604,F,
4,Fernandina,21.0,64153.0,6th Floor,F,Canada
81,Hatty,31.0,29240.0,Room 530,F,India
3,Deena,26.0,34040.0,Suite 47,F,USA
15,Jaimie,41.0,43945.0,Room 1699,M,
